API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sun Aug 23 14:44:05 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: International Space Station (spacecraft) (-125544) {source: iss}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2026-Aug-24 00:00:00.0000 TDB
Stop  time      : A.D. 2026-Aug-27 00:00:00.0000 TDB
Step-size       : 2 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.260821.p261117
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-AUG-21. PREDICTS-> 2026-NOV-16
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2461276.558333333, A.D. 2026-Aug-24 01:24:00.0000,  5.364883016452680E+03,  1.741989759574471E+02,  4.152280130094050E+03, -3.100050847915208E+00,  5.933065951424645E+00,  3.741851768082454E+00,
2461276.559722222, A.D. 2026-Aug-24 01:26:00.0000,  4.944887798896792E+03,  8.823971937916785E+02,  4.561794744086461E+03, -3.889150325911619E+00,  5.852197031522945E+00,  3.072970783471397E+00,
2461276.561111111, A.D. 2026-Aug-24 01:28:00.0000,  4.434341801917544E+03,  1.574437013262581E+03,  4.887534801000720E+03, -4.606929736960528E+00,  5.664181859863238E+00,  2.347752452024635E+00,
2461276.562500000, A.D. 2026-Aug-24 01:30:00.0000,  3.842605604554624E+03,  2.237650017173785E+03,  5.123531237734745E+03, -5.240262789124158E+00,  5.372493863192162E+00,  1.579532980230092E+00,
2461276.563888889, A.D. 2026-Aug-24 01:32:00.0000,  3.180523131288978E+03,  2.859898964016736E+03,  5.265463908598518E+03, -5.777587916342163E+00,  4.982496630690601E+00,  7.824161793041386E-01,
2461276.565277778, A.D. 2026-Aug-24 01:34:00.0000,  2.460221597342453E+03,  3.429798601471641E+03,  5.310738335317542E+03, -6.209107902636492E+00,  4.501339392319844E+00, -2.898299941539257E-02,
2461276.566666667, A.D. 2026-Aug-24 01:36:00.0000,  1.694889396152888E+03,  3.936922238879385E+03,  5.258531359642353E+03, -6.526958151684212E+00,  3.937824769560245E+00, -8.397999450538860E-01,
2461276.568055556, A.D. 2026-Aug-24 01:38:00.0000,  8.985357225600919E+02,  4.371990908733588E+03,  5.109805287327818E+03, -6.725342978054446E+00,  3.302251166856357E+00, -1.635183968152347E+00,
2461276.569444444, A.D. 2026-Aug-24 01:40:00.0000,  8.573580419303980E+01,  4.727042196884840E+03,  4.867290426507398E+03, -6.800639082354880E+00,  2.606231612191934E+00, -2.400561481291739E+00,
2461276.570833333, A.D. 2026-Aug-24 01:42:00.0000, -7.286342586151513E+02,  4.995576010183770E+03,  4.535436211323389E+03, -6.751464864224676E+00,  1.862490483933522E+00, -3.121896279070496E+00,
