API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Tue Sep  1 12:09:11 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2041-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2045-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.260831.p261127
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-AUG-31. PREDICTS-> 2026-NOV-26
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2466560.500000000, A.D. 2041-Feb-10 00:00:00.0000,  1.074832969626647E+05,  3.443099565238615E+05,  1.651620830930713E+05, -9.338988065047593E-01,  2.527322879177730E-01,  1.969370178592317E-01,
2466561.500000000, A.D. 2041-Feb-11 00:00:00.0000,  2.479819881345490E+04,  3.577761783121142E+05,  1.781082752640162E+05, -9.723970177290995E-01,  5.871091716142283E-02,  1.020173709393134E-01,
2466562.500000000, A.D. 2041-Feb-12 00:00:00.0000, -5.923314317075316E+04,  3.545210186314050E+05,  1.827239116301269E+05, -9.653158050711375E-01, -1.330485539813407E-01,  4.770404996735568E-03,
2466563.500000000, A.D. 2041-Feb-13 00:00:00.0000, -1.407540754153551E+05,  3.350641590344411E+05,  1.789780358986283E+05, -9.147165737461035E-01, -3.151488269792414E-01, -9.090655428928304E-02,
2466564.500000000, A.D. 2041-Feb-14 00:00:00.0000, -2.161309062264012E+05,  3.005372508582844E+05,  1.671662650704993E+05, -8.236905302174437E-01, -4.808124568083700E-01, -1.813476954557825E-01,
2466565.500000000, A.D. 2041-Feb-15 00:00:00.0000, -2.820406834160797E+05,  2.526314675178672E+05,  1.478911999971616E+05, -6.963403096292891E-01, -6.238697821401574E-01, -2.631152918530034E-01,
2466566.500000000, A.D. 2041-Feb-16 00:00:00.0000, -3.355588444786758E+05,  1.935426819745769E+05,  1.220415187270241E+05, -5.377850296884850E-01, -7.388239467824044E-01, -3.330333833443738E-01,
2466567.500000000, A.D. 2041-Feb-17 00:00:00.0000, -3.742464348149155E+05,  1.259084436552541E+05,  9.076679207181040E+04, -3.541392351298964E-01, -8.209705818350514E-01, -3.882509843555365E-01,
2466568.500000000, A.D. 2041-Feb-18 00:00:00.0000, -3.962335054605588E+05,  5.273345288916517E+04,  5.544610178658267E+04, -1.524443997551163E-01, -8.665387074410819E-01, -4.263195539348141E-01,
2466569.500000000, A.D. 2041-Feb-19 00:00:00.0000, -4.002946843523335E+05, -2.269695652284670E+04,  1.764991397758540E+04,  5.944072988991219E-02, -8.728236818396415E-01, -4.452695437861575E-01,
2466570.500000000, A.D. 2041-Feb-20 00:00:00.0000, -3.859143644877674E+05, -9.691397635838120E+04, -2.090430365845659E+04,  2.729658491050023E-01, -8.383006563483942E-01, -4.436783352036400E-01,
2466571.500000000, A.D. 2041-Feb-21 00:00:00.0000, -3.533413643574513E+05, -1.663718426274439E+05, -5.840208787320941E+04,  4.790033613991633E-01, -7.627322532404682E-01, -4.207344568452340E-01,
